StartDate,EndDate,Status,Progress,Duration,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,ID,Fictional_story,Abstract_shapes,Sensory_sensations,Life_experiences,Media,Music,Future_plans,Building,Everyday,Movement_mem,Mem_description,Mem_music_evoked,Mem_spontaneity,Mem_individuality,Movement_story,Story_description,Story_music_evoked,Story_spontaneity,Story_individuality,Other_info,Feedback
20/02/2025 19:41,20/02/2025 19:44,IP Address,100,191,TRUE,20/02/2025 19:44,R_7wnyqs7Jy2r79eB,anonymous,EN,01/08/2552,Not at all,Not at all,Not at all,A moderate amount of the time,Not at all,A small amount of the time,A moderate amount of the time,Not at all,A moderate amount of the time,"Brahms, movement 2 — Andante, un poco adagio","I don't know if this counts as a memory. But I remembered conversations I have had with my advisor and collaborators, and gathered my thoughts about my plans for my research",Slightly,Mostly,Entirely,"Brahms, movement 3 — Scherzo: Allegro",I imagined making various travel plans for later this year. A road trip in Northern California. A solo trip to Marrakech. Among others,Moderately,Mostly,Mostly,,
20/02/2025 19:41,20/02/2025 19:44,IP Address,100,199,TRUE,20/02/2025 19:44,R_7g1TvDJhCB2eRQl,anonymous,EN,Jan1100,A moderate amount of the time,A small amount of the time,Not at all,Most of the time,A small amount of the time,All of the time,A moderate amount of the time,A small amount of the time,A small amount of the time,"Brahms, movement 3 — Scherzo: Allegro",Meeting a new friend for the first time - but focusing on the social anxiety/uncertainty/awkwardness,Mostly,Mostly,Mostly,"Brahms, movement 3 — Scherzo: Allegro",An army at war - staccato notes punctuating the march of a thousand soldiers. Torrential rain. ,Mostly,Slightly,Moderately,"The first movement evoked images of a gothic castle, also within a scene of torrential rain. ",
20/02/2025 19:42,20/02/2025 19:45,IP Address,100,176,TRUE,20/02/2025 19:45,R_7JlAlB2GRW4uaSn,anonymous,EN,Aug1588,Not at all,Not at all,Not at all,All of the time,Not at all,A moderate amount of the time,A small amount of the time,Not at all,A small amount of the time,"Brahms, movement 1 — Allegro non troppo",I remember buying the CD in 1998 and the room I listened to it. ,Entirely,Slightly,Entirely,"Brahms, movement 4 — Finale",I was thinking about Brahms the man himself and how he might have felt,Entirely,Entirely,Entirely,I was focusing on the piano technique as I am an amateur pianist myself. ,
20/02/2025 19:41,20/02/2025 19:45,IP Address,100,241,TRUE,20/02/2025 19:45,R_3K6UR1wuS6iB16w,anonymous,EN,Jun1295,A small amount of the time,Not at all,Not at all,A small amount of the time,Not at all,Most of the time,A small amount of the time,A small amount of the time,A small amount of the time,"Brahms, movement 2 — Andante, un poco adagio",Reminded me of a lullaby ,Moderately,Moderately,Slightly,"Brahms, movement 3 — Scherzo: Allegro",Military parade,Mostly,Mostly,Slightly,,
20/02/2025 19:42,20/02/2025 19:45,IP Address,100,190,TRUE,20/02/2025 19:45,R_3dPNaCAWZuEU7bF,anonymous,EN,01/04/5778,A moderate amount of the time,Not at all,Not at all,Most of the time,A moderate amount of the time,A small amount of the time,Most of the time,Not at all,A small amount of the time,"Brahms, movement 1 — Allegro non troppo",its like i was walking down the halls of a castle/giant royal building,Mostly,Slightly,Moderately,"Brahms, movement 4 — Finale",epic boss battle,Slightly,Mostly,Slightly,,"make the qr code on the paper form. also specify from the beginning that by memory you mean personal experienced memory, not made up memory"
20/02/2025 19:40,20/02/2025 19:45,IP Address,100,274,TRUE,20/02/2025 19:45,R_5CpuplK1PVqIF6i,anonymous,EN,01/11/6593,A moderate amount of the time,A small amount of the time,A small amount of the time,A small amount of the time,A moderate amount of the time,A moderate amount of the time,A small amount of the time,A small amount of the time,A small amount of the time,"Brahms, movement 3 — Scherzo: Allegro","Dramatic, rocking",Entirely,Not at all,Entirely,"Brahms, movement 1 — Allegro non troppo","Drama, fantasy ",Entirely,Entirely,Entirely,,Great survey practice!
20/02/2025 19:41,20/02/2025 19:45,IP Address,100,221,TRUE,20/02/2025 19:45,R_7JzoUkg4Y7tyEDJ,anonymous,EN,mhy,A moderate amount of the time,A small amount of the time,Not at all,A small amount of the time,A small amount of the time,A moderate amount of the time,A small amount of the time,Not at all,A small amount of the time,"Brahms, movement 2 — Andante, un poco adagio","wildlife, river running through, bird singing; myself playing piano when I was a child. The genre was so beautiful ",Mostly,Mostly,Moderately,"Brahms, movement 4 — Finale",Thought about the scenes in the game I played. Thought about my first date. Thoughts about my room during childhood ,Mostly,Slightly,Moderately,,
20/02/2025 19:41,20/02/2025 19:45,IP Address,100,251,TRUE,20/02/2025 19:45,R_7sT6VKwpls91NHV,anonymous,EN,feb1680,Not at all,Not at all,Not at all,A moderate amount of the time,Not at all,A moderate amount of the time,A small amount of the time,Not at all,A small amount of the time,"Brahms, movement 3 — Scherzo: Allegro","Traveling with family, children young-",Slightly,Entirely,Moderately,"Brahms, movement 4 — Finale",Not much of a story- bits and pieces,Slightly,Slightly,Moderately,,
20/02/2025 19:41,20/02/2025 19:45,IP Address,100,216,TRUE,20/02/2025 19:45,R_7vYyGT9J377AnuG,anonymous,EN,0220jzxd,Most of the time,Most of the time,A small amount of the time,Most of the time,Most of the time,Most of the time,Not at all,Most of the time,Not at all,"Brahms, movement 4 — Finale",It’s wide ranging and pushing emotion to a new level,Moderately,Moderately,Entirely,"Brahms, movement 2 — Andante, un poco adagio",The waves of the movements came to mind. There was the force of nature and people. They met they clashed ,Entirely,Entirely,Mostly,,Very good design of the questions. The second part may have instrumental effects
20/02/2025 19:42,20/02/2025 19:45,IP Address,100,180,TRUE,20/02/2025 19:45,R_7bVM23UoBuDNrRX,anonymous,EN,01/03/2107,Not at all,Not at all,Not at all,Not at all,Not at all,All of the time,Not at all,Not at all,Not at all,"Brahms, movement 1 — Allegro non troppo",,Mostly,Entirely,Entirely,,,Not at all,Entirely,Entirely,,
20/02/2025 19:42,20/02/2025 19:45,IP Address,100,211,TRUE,20/02/2025 19:45,R_1Vv8d6yAJw3w4cF,anonymous,EN,01/11/2238,A moderate amount of the time,Not at all,Not at all,A moderate amount of the time,Not at all,A moderate amount of the time,A moderate amount of the time,Not at all,A small amount of the time,"Brahms, movement 1 — Allegro non troppo",I thought about all the times in my life I heard this work. At least 3 different settings.,Entirely,Slightly,Entirely,"Brahms, movement 4 — Finale",I did not imagine a fictional scene in any movement,Not at all,Not at all,Not at all,None,
20/02/2025 19:41,20/02/2025 19:46,IP Address,100,260,TRUE,20/02/2025 19:46,R_5nheENpRUnFUyaJ,anonymous,EN,01/07/7330,Not at all,Not at all,Not at all,A small amount of the time,Not at all,Most of the time,A small amount of the time,A small amount of the time,A moderate amount of the time,"Brahms, movement 2 — Andante, un poco adagio",,Slightly,,Slightly,"Brahms, movement 1 — Allegro non troppo",,Moderately,Moderately,Slightly,,
20/02/2025 19:41,20/02/2025 19:46,IP Address,100,271,TRUE,20/02/2025 19:46,R_7oZVKSqRR9ciQwG,anonymous,EN,Jan0602,Not at all,Not at all,Not at all,Not at all,A small amount of the time,All of the time,Not at all,A small amount of the time,Not at all,"Brahms, movement 2 — Andante, un poco adagio",Thinking about film music. ,Mostly,Entirely,Entirely,"Brahms, movement 2 — Andante, un poco adagio",Watching past films. ,Mostly,Mostly,Entirely,NA,If I imagined nothing I felt possibly that some questions did not apply. 
20/02/2025 19:41,20/02/2025 19:46,IP Address,100,285,TRUE,20/02/2025 19:46,R_7OJ4UvPq8yGpaDT,anonymous,EN,01/12/8339,A moderate amount of the time,A moderate amount of the time,A moderate amount of the time,Most of the time,Not at all,A moderate amount of the time,Not at all,A small amount of the time,A moderate amount of the time,"Brahms, movement 3 — Scherzo: Allegro",Life is full of ups and downs but there is beauty in each moment to be had. ,Mostly,Moderately,Mostly,"Brahms, movement 3 — Scherzo: Allegro",Onward regardless ,Moderately,Mostly,Mostly,,
20/02/2025 19:41,20/02/2025 19:46,IP Address,100,284,TRUE,20/02/2025 19:46,R_7h15ia202jXX5v3,anonymous,EN,01/08/2261,A small amount of the time,Not at all,Not at all,A moderate amount of the time,Not at all,Most of the time,Not at all,Not at all,A moderate amount of the time,"Brahms, movement 2 — Andante, un poco adagio",Playing in the woods with my childhood friend and building forts together ,Entirely,Slightly,Mostly,"Brahms, movement 3 — Scherzo: Allegro",Dancing in a ballroom,Entirely,Mostly,Mostly,,"Very happy to participate in this survey and to assist in your research. All the best!
Would welcome hearing of your findings/results if that is possible. "
20/02/2025 19:42,20/02/2025 19:46,IP Address,100,289,TRUE,20/02/2025 19:46,R_7xFgZuMd8lMDsmB,anonymous,EN,01/02/4546,A small amount of the time,A small amount of the time,A small amount of the time,A small amount of the time,A small amount of the time,A small amount of the time,A small amount of the time,A small amount of the time,A small amount of the time,"Brahms, movement 3 — Scherzo: Allegro",It is to good and I am speechless ,Moderately,Moderately,Moderately,"Brahms, movement 3 — Scherzo: Allegro",It is a long story that I can’t hardly describe it,Moderately,Moderately,,It is so fascinating that I am speechless.,So good
20/02/2025 19:42,20/02/2025 19:46,IP Address,100,237,TRUE,20/02/2025 19:46,R_5VDbOCQEIgQTyb2,anonymous,EN,01/02/2855,Most of the time,Not at all,Not at all,A small amount of the time,Not at all,A moderate amount of the time,Not at all,Not at all,Not at all,"Brahms, movement 2 — Andante, un poco adagio",A grand ballroom with Victorian couples,Mostly,Slightly,Entirely,"Brahms, movement 3 — Scherzo: Allegro",Mountain storm,Mostly,Entirely,Mostly,,
20/02/2025 19:41,20/02/2025 19:46,IP Address,100,298,TRUE,20/02/2025 19:46,R_7CNQpOqfyIHieUF,anonymous,EN,01/04/6638,Most of the time,Not at all,A moderate amount of the time,Not at all,Not at all,A small amount of the time,A small amount of the time,A moderate amount of the time,A small amount of the time,"Brahms, movement 3 — Scherzo: Allegro",I didn’t have any memory,Not at all,Entirely,Not at all,"Brahms, movement 3 — Scherzo: Allegro",I imagined Icelandic wild horses running free surrounded by waterfalls and green canyons.,Entirely,Entirely,Entirely,,
20/02/2025 19:43,20/02/2025 19:47,IP Address,100,241,TRUE,20/02/2025 19:47,R_1bdo9kOYncXOtUJ,anonymous,EN,Dec793,Not at all,A small amount of the time,Not at all,A small amount of the time,Not at all,A moderate amount of the time,A small amount of the time,Not at all,A moderate amount of the time,"Brahms, movement 1 — Allegro non troppo",Prior hearing this piece of music ,Entirely,Entirely,Not at all,"Brahms, movement 4 — Finale",People pushing forward ,Mostly,Mostly,Slightly,My mind wanders more in the second half of concerts ,No
20/02/2025 19:45,20/02/2025 19:47,IP Address,100,123,TRUE,20/02/2025 19:47,R_345zUziqtZDJNK1,anonymous,EN,01/05/2226,Most of the time,,,,,,,,,"Brahms, movement 3 — Scherzo: Allegro",,Mostly,Slightly,Mostly,"Brahms, movement 1 — Allegro non troppo",,Mostly,Mostly,Mostly,,
20/02/2025 19:42,20/02/2025 19:47,IP Address,100,305,TRUE,20/02/2025 19:47,R_79b2mc2rETwHk8H,anonymous,EN,01/08/5040,Not at all,Not at all,Not at all,Most of the time,Not at all,Most of the time,A small amount of the time,Not at all,Not at all,"Brahms, movement 3 — Scherzo: Allegro",There was some timing issues between the piano and quartet which reminded me of playing Brahms 2 piano music with my partner and the difficulty of nailing Brahms’ metrical and rhythmic clashes. I remember the practice room vividly ,Mostly,Slightly,Entirely,"Brahms, movement 1 — Allegro non troppo",I did not experience any fictional imaginings.,Not at all,Not at all,Not at all,,The questions were pretty leading and did not really represent my experiences of listening to music or offer opportunities to relate that experience 
20/02/2025 19:42,20/02/2025 19:47,IP Address,100,311,TRUE,20/02/2025 19:47,R_78P9RRhNJkcZgw7,anonymous,EN,Mar0295,A small amount of the time,Not at all,Not at all,A moderate amount of the time,A small amount of the time,Most of the time,Most of the time,All of the time,A moderate amount of the time,"Brahms, movement 3 — Scherzo: Allegro","Civic procession, city hall, town meeting ",Mostly,Moderately,Mostly,"Brahms, movement 3 — Scherzo: Allegro",Thomas Mann Buddenbrooks,Mostly,Mostly,Moderately,,Too long
20/02/2025 19:42,20/02/2025 19:47,IP Address,100,294,TRUE,20/02/2025 19:47,R_7ptXbOkq4n0TvxA,anonymous,EN,Aug0983,Not at all,Not at all,Not at all,Not at all,Not at all,A small amount of the time,Not at all,Not at all,Not at all,"Brahms, movement 1 — Allegro non troppo",My principal memory was of hearing the piece before. ,Entirely,Slightly,Not at all,"Brahms, movement 4 — Finale","I didn’t really visualize a scene. Generally, I don’t visualize things. ",Not at all,Not at all,Not at all,,My brain doesn’t really work in a way that allows me to answer the questions. I just appreciate the music for the beauty of the sounds. 
20/02/2025 19:42,20/02/2025 19:47,IP Address,100,315,TRUE,20/02/2025 19:47,R_5OfYtEwnnVdkQCZ,anonymous,EN,Jan1791,Not at all,Most of the time,Not at all,A moderate amount of the time,A small amount of the time,Most of the time,A small amount of the time,A small amount of the time,A small amount of the time,"Brahms, movement 3 — Scherzo: Allegro","Just a series of memories from various times of my life: moments with friends from other places I’ve lived, small things that have happened in recent weeks. ",Not at all,Entirely,Entirely,,,,,,"The strongest experience I have was music generally is the perception of music is a series of shapes. With the Brahms I also experienced colors, which is more unusual for me. It was mostly in the first movement","I really liked having the option to do it on my phone, thank you! Good luck with your research"
20/02/2025 19:44,20/02/2025 19:47,IP Address,100,235,TRUE,20/02/2025 19:47,R_5rAC2R1z3B5OLBK,anonymous,EN,01/02/8120,A moderate amount of the time,A small amount of the time,Not at all,Not at all,Not at all,Most of the time,All of the time,Most of the time,A small amount of the time,"Brahms, movement 1 — Allegro non troppo","I thought for a little bit about the dinner I just had. It was one of my first times eating at my new eating club, and I met many new people.",Not at all,Entirely,Slightly,"Brahms, movement 3 — Scherzo: Allegro","During the march portions of the scherzo, I imagined a column of Napoleonic soldiers processing through the Triumphal Arch in Paris.",Entirely,Mostly,Mostly,,None! Good luck with your research!
20/02/2025 19:42,20/02/2025 19:48,IP Address,100,341,TRUE,20/02/2025 19:48,R_7CdhJsCcTLDi0CH,anonymous,EN,01/02/6061,A small amount of the time,Not at all,Not at all,Most of the time,A small amount of the time,All of the time,A moderate amount of the time,A moderate amount of the time,A moderate amount of the time,"Brahms, movement 4 — Finale","I thought about my first love from college, not a specific memory but him in various places: outside the cafe in the open air one night where people smoked and I introduced him to a friend. I imagined him as he were: tall, dark-haired, olive skin, handsome, beautiful smile, cocky. ",Slightly,Not at all,Mostly,"Brahms, movement 3 — Scherzo: Allegro","I imagined receiving a message to reconnect from the first love I reminisced about during the same movement. Specifically, he sends me a Facebook message and I reply with all the good will and sincerity that it is so nice to hear from him. ",Moderately,Mostly,Mostly,,
20/02/2025 19:45,20/02/2025 19:50,IP Address,100,304,TRUE,20/02/2025 19:50,R_5RR1vvMelL7e7Dw,anonymous,EN,01/06/6416,A small amount of the time,Not at all,Not at all,A small amount of the time,Not at all,Most of the time,Not at all,A small amount of the time,Not at all,"Brahms, movement 4 — Finale",Emotions of longing angst building to almost a sobbbing and gasping before resolution ,Mostly,Moderately,Moderately,"Brahms, movement 1 — Allegro non troppo",Serenity ,Mostly,Moderately,Moderately,,The concert experience is different than listening at home 
20/02/2025 19:42,20/02/2025 19:51,IP Address,100,534,TRUE,20/02/2025 19:51,R_7tFD1Q6Ldh5fEuu,anonymous,EN,01/07/4849,Most of the time,A small amount of the time,A small amount of the time,A moderate amount of the time,Not at all,A small amount of the time,Not at all,Not at all,A small amount of the time,"Brahms, movement 2 — Andante, un poco adagio","Somber, but at time intense, tumultuous ",Mostly,Moderately,Mostly,"Brahms, movement 2 — Andante, un poco adagio",,Mostly,Mostly,Entirely,,Fine with taking survey.
20/02/2025 19:49,20/02/2025 19:54,IP Address,100,244,TRUE,20/02/2025 19:54,R_3gnfrC2y52MbMOD,anonymous,EN,Sep270,A small amount of the time,A small amount of the time,Not at all,All of the time,All of the time,All of the time,All of the time,Most of the time,All of the time,"Brahms, movement 1 — Allegro non troppo",I heard it from a long time ago. It seemed to appear in TV or commercial somewhere ,Mostly,Slightly,Mostly,"Brahms, movement 3 — Scherzo: Allegro",Very interesting graphic movements or the contemporary paintings I saw in the museums.,Mostly,Mostly,Mostly,Final movement is also very fun to watch the musicians’ expressions ,Good!
20/02/2025 19:50,20/02/2025 19:54,IP Address,100,239,TRUE,20/02/2025 19:54,R_5zliIkcQi6z9U8p,anonymous,EN,01/09/3603,Not at all,Not at all,Not at all,Not at all,Not at all,A moderate amount of the time,A small amount of the time,A small amount of the time,A small amount of the time,"Brahms, movement 3 — Scherzo: Allegro",I didn’t actually have a vivid memory.,Not at all,Entirely,Not at all,"Brahms, movement 2 — Andante, un poco adagio","Again, I was not focused on any specific thought or memory.",Not at all,Slightly,Slightly,,
20/02/2025 19:41,20/02/2025 19:58,IP Address,100,974,TRUE,20/02/2025 19:58,R_7B3HvbqyNyyos37,anonymous,EN,01/05/4726,Most of the time,Not at all,A small amount of the time,A small amount of the time,Not at all,A moderate amount of the time,Most of the time,Not at all,A small amount of the time,"Brahms, movement 1 — Allegro non troppo",I’d rather not share,Slightly,Moderately,Mostly,"Brahms, movement 4 — Finale",I’d rather not share ,Moderately,Moderately,Mostly,,
20/02/2025 19:41,20/02/2025 20:06,IP Address,100,1488,TRUE,20/02/2025 20:06,R_7QXcieqXMyMK0BU,anonymous,EN,01/02/3028,Not at all,Not at all,Not at all,Not at all,Not at all,All of the time,A small amount of the time,Not at all,A small amount of the time,"Brahms, movement 1 — Allegro non troppo",,Not at all,Entirely,Not at all,,,Not at all,Not at all,Not at all,,
21/02/2025 06:19,21/02/2025 06:23,IP Address,100,229,TRUE,21/02/2025 06:23,R_7CTakwgQiNIpfz0,anonymous,EN,may0213,Not at all,Most of the time,Most of the time,Most of the time,Not at all,All of the time,A small amount of the time,Not at all,Not at all,"Brahms, movement 3 — Scherzo: Allegro",Memory of performing this movement,Entirely,Moderately,Mostly,"Brahms, movement 4 — Finale",False ending of 4th movement feels like the earth opening,Entirely,Moderately,Entirely,,
21/02/2025 06:51,21/02/2025 06:57,IP Address,100,377,TRUE,21/02/2025 06:57,R_57TaPrKTBmGVNcd,anonymous,EN,jan,A small amount of the time,Not at all,Not at all,A small amount of the time,Not at all,Most of the time,A moderate amount of the time,Not at all,A moderate amount of the time,"Brahms, movement 4 — Finale",It’s really more of a memory of the performance rather than evoking a different memory. The performance itself is the memory. ,Entirely,Entirely,Not at all,"Brahms, movement 1 — Allegro non troppo","More of being introduced to the story, of opening the door to the story that was going to be told. ",Entirely,Entirely,Not at all,Will the results of the research be shared? (I can’t recall if that was covered in the overview),Glad to participate
21/02/2025 10:38,21/02/2025 10:48,IP Address,100,584,TRUE,21/02/2025 10:48,R_7J5JZolTygNluUx,anonymous,EN,01/11/6432,A small amount of the time,A small amount of the time,Not at all,A small amount of the time,Not at all,A moderate amount of the time,A small amount of the time,A small amount of the time,Not at all,"Brahms, movement 3 — Scherzo: Allegro",Movements from dances,Mostly,Moderately,Mostly,"Brahms, movement 4 — Finale",So different from Brahm's Hungarian dances,Mostly,Moderately,Mostly,,It was nice to see how seriously people were  completing the survey.
